A	0.0659	0.1459	0.1239	0.0714	0.0216
B	0.0745	0.0071	0.0243	0.0094	0.0047
C	0.0859	0.0173	0.0255	0.0631	0.0125
D	0.0431	0.0086	0.0325	0.0267	0.1086
E	0.0322	0.0941	0.0718	0.1937	0.1682
F	0.0588	0.0031	0.0114	0.0165	0.0114
G	0.0506	0.0067	0.0325	0.0251	0.0153
H	0.0306	0.0620	0.0039	0.0098	0.0533
I	0.0153	0.0965	0.1063	0.0647	0.0031
J	0.0094	0.0012	0.0008	0.0008	0.0000
K	0.0122	0.0039	0.0122	0.0224	0.0475
L	0.0412	0.0812	0.0478	0.0612	0.0659
M	0.0475	0.0157	0.0286	0.0275	0.0173
N	0.0161	0.0424	0.0600	0.0749	0.0494
O	0.0188	0.1227	0.0973	0.0553	0.0196
P	0.0651	0.0263	0.0267	0.0227	0.0251
Q	0.0075	0.0027	0.0004	0.0000	0.0000
R	0.0400	0.1090	0.0714	0.0596	0.0976
S	0.1486	0.0075	0.0322	0.0682	0.0184
T	0.0643	0.0298	0.0529	0.0514	0.0976
U	0.0157	0.0788	0.0690	0.0349	0.0008
V	0.0161	0.0055	0.0247	0.0176	0.0000
W	0.0353	0.0157	0.0149	0.0102	0.0071
X	0.0000	0.0059	0.0082	0.0008	0.0031
Y	0.0035	0.0098	0.0129	0.0031	0.1498
Z	0.0020	0.0008	0.0078	0.0090	0.0020
